Filename:	D:\Clemens 2016\LME_0_12b.drdd 
Operator ID:	 
Sample ID:	LME_0_12b 
Comment: 	Isothermal 150C /480min 
Serial Number:	587P2203 
Data Collected:	25-10-2016 22:07:22 
Sample Weight:	10.400 mg 
Display Weight:	10.400 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\default.drdc 
Date/Time:	 
Initial Conditions 
Temperature:	 100.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Standard 
Baseline Filename:	D:\foostrum\FiberCore baseline.drdd 
End Condition:	Go To Load 
Total Points in Run:	28830 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 100.00°C to 150.00°C at 100.00°C/min 
 
2)	Hold for 480.0 min at 150.00°C 
 
1) Sapphire DSC Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	1.300000	0.452530	0.000000	150.000000	152.132095	0.000000	1.480999 
	1.316667	0.470397	0.000000	150.000000	152.156296	0.000000	1.480999 
	1.333333	0.488758	0.000000	150.000000	152.177429	0.000000	1.480999 
	1.350000	0.509732	0.000000	150.000000	152.199799	0.000000	1.480999 
	1.366667	0.534661	0.000000	150.000000	152.221863	0.000000	1.480999 
	1.383333	0.558248	0.000000	150.000000	152.240540	0.000000	1.480999 
	1.400000	0.587413	0.000000	150.000000	152.259842	0.000000	1.480999 
	1.416667	0.613472	0.000000	150.000000	152.276993	0.000000	1.480999 
	1.433333	0.645463	0.000000	150.000000	152.287720	0.000000	1.480999 
	1.450000	0.673922	0.000000	150.000000	152.300278	0.000000	1.480999 
	1.466667	0.704218	0.000000	150.000000	152.314362	0.000000	1.480999 
	1.483333	0.733455	0.000000	150.000000	152.327850	0.000000	1.480999 
	1.500000	0.765587	0.000000	150.000000	152.340714	0.000000	1.480999 
	1.516667	0.793693	0.000000	150.000000	152.357559	0.000000	1.480999 
	1.533333	0.820811	0.000000	150.000000	152.366745	0.000000	1.480999 
	1.550000	0.850683	0.000000	150.000000	152.375641	0.000000	1.480999 
	1.566667	0.877589	0.000000	150.000000	152.381760	0.000000	1.480999 
	1.583333	0.906049	0.000000	150.000000	152.387894	0.000000	1.480999 
	1.600000	0.930554	0.000000	150.000000	152.389420	0.000000	1.480999 
	1.616667	0.957813	0.000000	150.000000	152.395859	0.000000	1.480999 
	1.633333	0.981612	0.000000	150.000000	152.398300	0.000000	1.480999 
	1.650000	1.005834	0.000000	150.000000	152.402588	0.000000	1.480999 
	1.666667	1.027303	0.000000	150.000000	152.404434	0.000000	1.480999 
	1.683333	1.048277	0.000000	150.000000	152.410858	0.000000	1.480999 
	1.700000	1.070381	0.000000	150.000000	152.414230	0.000000	1.480999 
	1.716667	1.089589	0.000000	150.000000	152.418823	0.000000	1.480999 
	1.733333	1.109857	0.000000	150.000000	152.423431	0.000000	1.480999 
	1.750000	1.126876	0.000000	150.000000	152.425873	0.000000	1.480999 
	1.766667	1.144319	0.000000	150.000000	152.427719	0.000000	1.480999 
	1.783333	1.159714	0.000000	150.000000	152.429855	0.000000	1.480999 
	1.800000	1.176804	0.000000	150.000000	152.432007	0.000000	1.480999 
	1.816667	1.191070	0.000000	150.000000	152.434143	0.000000	1.480999 
	1.833333	1.205335	0.000000	150.000000	152.437210	0.000000	1.480999 
	1.850000	1.217976	0.000000	150.000000	152.439667	0.000000	1.480999 
	1.866667	1.229840	0.000000	150.000000	152.443329	0.000000	1.480999 
	1.883333	1.241421	0.000000	150.000000	152.445786	0.000000	1.480999 
	1.900000	1.251873	0.000000	150.000000	152.446701	0.000000	1.480999 
	1.916667	1.262960	0.000000	150.000000	152.449768	0.000000	1.480999 
	1.933333	1.271929	0.000000	150.000000	152.452530	0.000000	1.480999 
	1.950000	1.282310	0.000000	150.000000	152.454666	0.000000	1.480999 
	1.966667	1.290784	0.000000	150.000000	152.457428	0.000000	1.480999 
	1.983333	1.299329	0.000000	150.000000	152.462021	0.000000	1.480999 
	2.000000	1.305473	0.000000	150.000000	152.464172	0.000000	1.480999 
	2.016667	1.313029	0.000000	150.000000	152.465698	0.000000	1.480999 
	2.033333	1.319738	0.000000	150.000000	152.466614	0.000000	1.480999 
	2.050000	1.325105	0.000000	150.000000	152.468155	0.000000	1.480999 
	2.066667	1.331391	0.000000	150.000000	152.468765	0.000000	1.480999 
	2.083333	1.337181	0.000000	150.000000	152.471207	0.000000	1.480999 
	2.100000	1.342548	0.000000	150.000000	152.474884	0.000000	1.480999 
	2.116667	1.347562	0.000000	150.000000	152.478867	0.000000	1.480999 
	2.133333	1.351800	0.000000	150.000000	152.480103	0.000000	1.480999 
	2.150000	1.357096	0.000000	150.000000	152.483459	0.000000	1.480999 
	2.166667	1.361051	0.000000	150.000000	152.486221	0.000000	1.480999 
	2.183333	1.365005	0.000000	150.000000	152.485306	0.000000	1.480999 
	2.200000	1.368678	0.000000	150.000000	152.484695	0.000000	1.480999 
	2.216667	1.372491	0.000000	150.000000	152.490509	0.000000	1.480999 
	2.233333	1.374610	0.000000	150.000000	152.492661	0.000000	1.480999 
	2.250000	1.377788	0.000000	150.000000	152.493881	0.000000	1.480999 
	2.266667	1.381107	0.000000	150.000000	152.498779	0.000000	1.480999 
	2.283333	1.383649	0.000000	150.000000	152.503372	0.000000	1.480999 
	2.300000	1.387109	0.000000	150.000000	152.503067	0.000000	1.480999 
	2.316667	1.389369	0.000000	150.000000	152.503372	0.000000	1.480999 
	2.333333	1.391347	0.000000	150.000000	152.503677	0.000000	1.480999 
	2.350000	1.393889	0.000000	150.000000	152.504913	0.000000	1.480999 
	2.366667	1.396784	0.000000	150.000000	152.506134	0.000000	1.480999 
	2.383333	1.399609	0.000000	150.000000	152.510117	0.000000	1.480999 
	2.400000	1.402010	0.000000	150.000000	152.510422	0.000000	1.480999 
	2.416667	1.404552	0.000000	150.000000	152.514404	0.000000	1.480999 
	2.433333	1.407872	0.000000	150.000000	152.518997	0.000000	1.480999 
	2.450000	1.410131	0.000000	150.000000	152.521759	0.000000	1.480999 
	2.466667	1.412391	0.000000	150.000000	152.522369	0.000000	1.480999 
	2.483333	1.413733	0.000000	150.000000	152.525742	0.000000	1.480999 
	2.500000	1.414369	0.000000	150.000000	152.532181	0.000000	1.480999 
	2.516667	1.415710	0.000000	150.000000	152.536148	0.000000	1.480999 
	2.533333	1.418394	0.000000	150.000000	152.538300	0.000000	1.480999 
	2.550000	1.419665	0.000000	150.000000	152.541061	0.000000	1.480999 
